T_A[K] T_B[K] CNT sr860x[V] sr860y[V] sr860f[Hz] sr860sin[V] yyyy-mm-dd hh:mm:ss.ccccc
113.276667 112.761667 120 0.15481038 -0.00200081 33.3330 1.0000000000 2022-12-21 22:10:15.296462
113.285000 112.770000 121 0.15475370 -0.00199945 33.3330 1.0000000000 2022-12-21 22:10:17.232890
113.281667 112.780000 122 0.15469915 -0.00199635 33.3330 1.0000000000 2022-12-21 22:10:19.113728
113.295000 112.780000 123 0.15464166 -0.00199381 33.3330 1.0000000000 2022-12-21 22:10:20.999816
113.301667 112.790000 124 0.15458001 -0.00199067 33.3330 1.0000000000 2022-12-21 22:10:22.867498
113.305000 112.798333 125 0.15452589 -0.00198811 33.3330 1.0000000000 2022-12-21 22:10:24.758974
113.313333 112.798333 126 0.15447386 -0.00198654 33.3330 1.0000000000 2022-12-21 22:10:26.629343
113.318333 112.801667 127 0.15442103 -0.00198489 33.3330 1.0000000000 2022-12-21 22:10:28.536279
113.326667 112.810000 128 0.15436489 -0.00198195 33.3330 1.0000000000 2022-12-21 22:10:30.454299
113.330000 112.818333 129 0.15429619 -0.00197868 33.3330 1.0000000000 2022-12-21 22:10:32.405954
113.326667 112.820000 130 0.15424515 -0.00197635 33.3330 1.0000000000 2022-12-21 22:10:34.290034
113.338333 112.830000 131 0.15419035 -0.00197446 33.3330 1.0000000000 2022-12-21 22:10:36.194363
113.345000 112.830000 132 0.15413529 -0.00197278 33.3330 1.0000000000 2022-12-21 22:10:38.052831
113.353333 112.840000 133 0.15407367 -0.00197006 33.3330 1.0000000000 2022-12-21 22:10:39.938037
113.360000 112.850000 134 0.15402316 -0.00196826 33.3330 1.0000000000 2022-12-21 22:10:41.811556
113.366667 112.851667 135 0.15397502 -0.00196542 33.3330 1.0000000000 2022-12-21 22:10:43.691428
113.375000 112.860000 136 0.15391695 -0.00196288 33.3330 1.0000000000 2022-12-21 22:10:45.572303
113.375000 112.870000 137 0.15385777 -0.00196050 33.3330 1.0000000000 2022-12-21 22:10:47.437185
113.375000 112.870000 138 0.15379792 -0.00195802 33.3330 1.0000000000 2022-12-21 22:10:49.332324
113.378333 112.880000 139 0.15374285 -0.00195566 33.3330 1.0000000000 2022-12-21 22:10:51.249607
113.385000 112.888333 140 0.15367629 -0.00195328 33.3330 1.0000000000 2022-12-21 22:10:53.164368
113.395000 112.896667 141 0.15362421 -0.00195121 33.3330 1.0000000000 2022-12-21 22:10:55.058155
113.401667 112.905000 142 0.15358219 -0.00194876 33.3330 1.0000000000 2022-12-21 22:10:56.939586
113.408333 112.910000 143 0.15352575 -0.00194645 33.3330 1.0000000000 2022-12-21 22:10:58.809096
113.413333 112.913333 144 0.15345361 -0.00194463 33.3330 1.0000000000 2022-12-21 22:11:00.673531
113.421667 112.920000 145 0.15339667 -0.00194216 33.3330 1.0000000000 2022-12-21 22:11:02.531890
113.421667 112.921667 146 0.15333470 -0.00193887 33.3330 1.0000000000 2022-12-21 22:11:04.425833
113.426667 112.930000 147 0.15327564 -0.00193655 33.3330 1.0000000000 2022-12-21 22:11:06.297331
113.435000 112.938333 148 0.15321967 -0.00193328 33.3330 1.0000000000 2022-12-21 22:11:08.194404
113.448333 112.940000 149 0.15315291 -0.00193196 33.3330 1.0000000000 2022-12-21 22:11:10.111304
113.446667 112.948333 150 0.15309164 -0.00192946 33.3330 1.0000000000 2022-12-21 22:11:11.975373
113.460000 112.960000 151 0.15303520 -0.00192707 33.3330 1.0000000000 2022-12-21 22:11:13.857479
113.465000 112.960000 152 0.15296461 -0.00192305 33.3330 1.0000000000 2022-12-21 22:11:15.739408
113.470000 112.971667 153 0.15289547 -0.00192107 33.3330 1.0000000000 2022-12-21 22:11:17.644635
113.470000 112.980000 154 0.15284093 -0.00191839 33.3330 1.0000000000 2022-12-21 22:11:19.577212
113.473333 112.990000 155 0.15277687 -0.00191529 33.3330 1.0000000000 2022-12-21 22:11:21.462683
113.485000 112.993333 156 0.15270911 -0.00191329 33.3330 1.0000000000 2022-12-21 22:11:23.336674
113.496667 113.000000 157 0.15263829 -0.00191021 33.3330 1.0000000000 2022-12-21 22:11:25.242276
113.510000 113.010000 158 0.15255351 -0.00190760 33.3330 1.0000000000 2022-12-21 22:11:27.106738
113.513333 113.010000 159 0.15248207 -0.00190371 33.3330 1.0000000000 2022-12-21 22:11:28.995734
113.516667 113.018333 160 0.15240749 -0.00190117 33.3330 1.0000000000 2022-12-21 22:11:30.895551
113.521667 113.020000 161 0.15234639 -0.00189825 33.3330 1.0000000000 2022-12-21 22:11:32.779774
113.521667 113.020000 162 0.15227770 -0.00189569 33.3330 1.0000000000 2022-12-21 22:11:34.676595
113.525000 113.030000 163 0.15221436 -0.00189276 33.3330 1.0000000000 2022-12-21 22:11:36.622130
113.531667 113.033333 164 0.15215447 -0.00189019 33.3330 1.0000000000 2022-12-21 22:11:38.479206
113.545000 113.048333 165 0.15210005 -0.00188856 33.3330 1.0000000000 2022-12-21 22:11:40.400765
113.553333 113.051667 166 0.15204491 -0.00188594 33.3330 1.0000000000 2022-12-21 22:11:42.253859
113.560000 113.050000 167 0.15197924 -0.00188394 33.3330 1.0000000000 2022-12-21 22:11:44.113795
113.566667 113.060000 168 0.15193188 -0.00188168 33.3330 1.0000000000 2022-12-21 22:11:45.995765
113.571667 113.070000 169 0.15186076 -0.00187850 33.3330 1.0000000000 2022-12-21 22:11:47.895829
113.571667 113.080000 170 0.15179178 -0.00187596 33.3330 1.0000000000 2022-12-21 22:11:49.780140
113.578333 113.090000 171 0.15173489 -0.00187324 33.3330 1.0000000000 2022-12-21 22:11:51.663768
113.591667 113.088333 172 0.15166559 -0.00187086 33.3330 1.0000000000 2022-12-21 22:11:53.544353
113.601667 113.091667 173 0.15159829 -0.00186809 33.3330 1.0000000000 2022-12-21 22:11:55.426915
113.611667 113.106667 174 0.15152640 -0.00186471 33.3330 1.0000000000 2022-12-21 22:11:57.302503
113.621667 113.110000 175 0.15144775 -0.00186143 33.3330 1.0000000000 2022-12-21 22:11:59.199439
113.628333 113.110000 176 0.15136838 -0.00185820 33.3330 1.0000000000 2022-12-21 22:12:01.136418
113.631667 113.120000 177 0.15128287 -0.00185538 33.3330 1.0000000000 2022-12-21 22:12:03.045827
113.640000 113.130000 178 0.15120920 -0.00185220 33.3330 1.0000000000 2022-12-21 22:12:04.934610
113.646667 113.140000 179 0.15112163 -0.00184861 33.3330 1.0000000000 2022-12-21 22:12:06.839912
113.660000 113.150000 180 0.15103035 -0.00184527 33.3330 1.0000000000 2022-12-21 22:12:08.745499
113.675000 113.150000 181 0.15094163 -0.00184174 33.3330 1.0000000000 2022-12-21 22:12:10.672541
113.686667 113.150000 182 0.15084513 -0.00183810 33.3330 1.0000000000 2022-12-21 22:12:12.535129
113.693333 113.155000 183 0.15075418 -0.00183458 33.3330 1.0000000000 2022-12-21 22:12:14.441663
113.701667 113.170000 184 0.15065509 -0.00183025 33.3330 1.0000000000 2022-12-21 22:12:16.337403
113.700000 113.166667 185 0.15056610 -0.00182672 33.3330 1.0000000000 2022-12-21 22:12:18.245542
113.710000 113.170000 186 0.15047961 -0.00182306 33.3330 1.0000000000 2022-12-21 22:12:20.163799
113.718333 113.180000 187 0.15039539 -0.00181949 33.3330 1.0000000000 2022-12-21 22:12:22.083880
113.726667 113.190000 188 0.15031853 -0.00181741 33.3330 1.0000000000 2022-12-21 22:12:23.966520
113.733333 113.200000 189 0.15023976 -0.00181404 33.3330 1.0000000000 2022-12-21 22:12:25.851362
113.738333 113.210000 190 0.15016160 -0.00181124 33.3330 1.0000000000 2022-12-21 22:12:27.720836
