T[C] Ux[V] Uy[V] f[Hz] SinVoltage[V] Current[A] Res[Ohm] T_A[C] T_B[C]
278.6766666666667 0.00020542 -5.206666666666666e-06 73.33 5.0 0.004739933333333334 0.04333780666666667 0.0 0.0
279.605 0.00020550499999999998 -5.495000000000001e-06 73.33 5.0 0.00474025 0.043352675 0.0 0.0
280.54 0.00020573666666666665 -5.276666666666666e-06 73.33 5.0 0.004739066666666666 0.04341287333333333 0.0 0.0
281.68666666666667 0.00020582 -5.379999999999999e-06 73.33 5.0 0.0047402 0.04341926666666667 0.0 0.0
282.65 0.000205995 -5.29e-06 73.33 5.0 0.00473935 0.043464735 0.0 0.0
283.60333333333335 0.0002060133333333333 -5.353333333333333e-06 73.33 5.0 0.004740633333333333 0.04345715333333333 0.0 0.0
284.565 0.000206245 -5.29e-06 73.33 5.0 0.00473955 0.043516395 0.0 0.0
285.54 0.00020642000000000002 -5.256666666666667e-06 73.33 5.0 0.004739866666666666 0.0435501 0.0 0.0
286.52 0.000206215 -5.405e-06 73.33 5.0 0.0047401000000000006 0.043505 0.0 0.0
287.5233333333333 0.00020658000000000002 -5.423333333333333e-06 73.33 5.0 0.0047387 0.04359441333333333 0.0 0.0
288.53499999999997 0.00020692 -5.2500000000000006e-06 73.33 5.0 0.0047402 0.043651855 0.0 0.0
289.5733333333333 0.0002066 -5.266666666666667e-06 73.33 5.0 0.004739633333333333 0.043589949999999995 0.0 0.0
290.61 0.00020683 -5.435e-06 73.33 5.0 0.00473945 0.043639895 0.0 0.0
291.66 0.00020717999999999998 -5.413333333333334e-06 73.33 5.0 0.004740633333333333 0.043702340000000006 0.0 0.0
292.72 0.000207325 -5.305e-06 73.33 5.0 0.00473925 0.043745535 0.0 0.0
293.57500000000005 0.00020738 -5.465e-06 73.33 5.0 0.00473905 0.043759825 0.0 0.0
294.65333333333336 0.0002077 -5.236666666666667e-06 73.33 5.0 0.004740233333333333 0.04381712333333334 0.0 0.0
295.75 0.00020752500000000002 -5.45e-06 73.33 5.0 0.00473945 0.043787679999999995 0.0 0.0
296.625 0.000207825 -5.425e-06 73.33 5.0 0.00473915 0.043853315000000004 0.0 0.0
297.51 0.00020784 -5.29e-06 73.33 5.0 0.00473945 0.04385361 0.0 0.0
298.6166666666666 0.00020799 -5.4333333333333335e-06 73.33 5.0 0.004740533333333334 0.04387508666666667 0.0 0.0
299.735 0.000208215 -5.3450000000000005e-06 73.33 5.0 0.0047396999999999995 0.043930025 0.0 0.0
300.635 0.00020845500000000002 -5.585e-06 73.33 5.0 0.0047396999999999995 0.043980334999999995 0.0 0.0
301.53999999999996 0.00020856 -5.495e-06 73.33 5.0 0.00473905 0.044008290000000005 0.0 0.0
302.46000000000004 0.000208665 -5.1899999999999994e-06 73.33 5.0 0.004739149999999999 0.04402942 0.0 0.0
303.59999999999997 0.00020867 -5.353333333333333e-06 73.33 5.0 0.0047405 0.04401791 0.0 0.0
304.75 0.00020905 -5.464999999999999e-06 73.33 5.0 0.0047393 0.0441097 0.0 0.0
305.675 0.00020914000000000002 -5.5250000000000005e-06 73.33 5.0 0.00473925 0.04412913 0.0 0.0
306.615 0.00020939 -5.29e-06 73.33 5.0 0.0047396 0.044179265 0.0 0.0
307.54499999999996 0.00020915000000000002 -5.51e-06 73.33 5.0 0.00473995 0.04412568 0.0 0.0
308.485 0.000209495 -5.365e-06 73.33 5.0 0.004739999999999999 0.04419761 0.0 0.0
309.42 0.000209585 -5.375e-06 73.33 5.0 0.0047402 0.044214485 0.0 0.0
310.60999999999996 0.00020954 -5.549999999999999e-06 73.33 5.0 0.004739533333333333 0.04421133 0.0 0.0
311.81 0.000209885 -5.1750000000000004e-06 73.33 5.0 0.00473955 0.044283434999999996 0.0 0.0
312.77 0.00020987 -5.51e-06 73.33 5.0 0.00474015 0.04427468 0.0 0.0
313.73 0.000209945 -5.48e-06 73.33 5.0 0.00473985 0.044293275 0.0 0.0
314.69 0.000210125 -5.245e-06 73.33 5.0 0.00474025 0.044327305 0.0 0.0
315.65 0.000210465 -5.16e-06 73.33 5.0 0.004740299999999999 0.04439908 0.0 0.0
316.61 0.00021056999999999998 -5.42e-06 73.33 5.0 0.00474005 0.04442347 0.0 0.0
317.575 0.00021074499999999998 -5.45e-06 73.33 5.0 0.00473955 0.04446582 0.0 0.0
318.55 0.000210805 -5.45e-06 73.33 5.0 0.0047390999999999996 0.0444827 0.0 0.0
319.525 0.00021088 -5.615e-06 73.33 5.0 0.00473925 0.04449691 0.0 0.0
320.52 0.000211105 -5.375e-06 73.33 5.0 0.004739800000000001 0.04453902 0.0 0.0
321.51 0.000210925 -5.51e-06 73.33 5.0 0.00473985 0.044500815 0.0 0.0
322.51 0.00021136 -5.57e-06 73.33 5.0 0.0047396999999999995 0.04459333 0.0 0.0
323.51 0.000211435 -5.675e-06 73.33 5.0 0.0047405 0.044601515 0.0 0.0
324.505 0.000211405 -5.2649999999999996e-06 73.33 5.0 0.00473985 0.04460142 0.0 0.0
325.495 0.00021166000000000002 -5.41e-06 73.33 5.0 0.00473985 0.044654795 0.0 0.0
326.485 0.000211805 -5.675e-06 73.33 5.0 0.00473935 0.044690915 0.0 0.0
327.48 0.000211525 -5.4400000000000004e-06 73.33 5.0 0.00473925 0.044632160000000004 0.0 0.0
328.47 0.00021178 -5.2649999999999996e-06 73.33 5.0 0.0047393999999999995 0.04468414 0.0 0.0
329.47 0.00021234 -5.54e-06 73.33 5.0 0.00473955 0.044802265 0.0 0.0
330.47 0.00021234 -5.51e-06 73.33 5.0 0.00473955 0.04480228 0.0 0.0
331.47 0.00021255 -5.2749999999999995e-06 73.33 5.0 0.00474015 0.044840574999999994 0.0 0.0
332.475 0.00021271499999999999 -5.51e-06 73.33 5.0 0.0047402 0.044874689999999995 0.0 0.0
333.48 0.00021264 -5.3599999999999995e-06 73.33 5.0 0.00474025 0.044858505 0.0 0.0
334.495 0.00021286500000000002 -5.435e-06 73.33 5.0 0.00474005 0.04490757 0.0 0.0
335.515 0.00021324 -5.585e-06 73.33 5.0 0.0047393999999999995 0.04499231 0.0 0.0
336.54 0.00021315 -5.585e-06 73.33 5.0 0.00473905 0.04497685 0.0 0.0
337.555 0.000213475 -5.464999999999999e-06 73.33 5.0 0.004739149999999999 0.045045 0.0 0.0
338.57 0.00021347500000000003 -5.335000000000001e-06 73.33 5.0 0.00473935 0.045043085 0.0 0.0
339.585 0.00021355000000000001 -5.48e-06 73.33 5.0 0.00473965 0.045055965 0.0 0.0
340.6 0.00021359 -5.365e-06 73.33 5.0 0.0047396999999999995 0.045064889999999996 0.0 0.0
341.625 0.0002138 -5.425e-06 73.33 5.0 0.0047404000000000005 0.045102304999999995 0.0 0.0
342.635 0.0002141 -5.455e-06 73.33 5.0 0.00474005 0.04516841 0.0 0.0
343.655 0.00021395 -5.5250000000000005e-06 73.33 5.0 0.00473955 0.04514176 0.0 0.0
344.68 0.000214175 -5.32e-06 73.33 5.0 0.0047396 0.045188505000000004 0.0 0.0
345.705 0.000214385 -5.48e-06 73.33 5.0 0.0047392 0.045236225 0.0 0.0
346.725 0.00021443 -5.51e-06 73.33 5.0 0.00473865 0.045251075 0.0 0.0
347.75 0.000214935 -5.54e-06 73.33 5.0 0.00473845 0.045359795 0.0 0.0
348.78499999999997 0.000214775 -5.5e-06 73.33 5.0 0.00473925 0.045317645000000004 0.0 0.0
349.82 0.00021505500000000002 -5.72e-06 73.33 5.0 0.00473965 0.04537352 0.0 0.0
350.85 0.00021524499999999998 -5.45e-06 73.33 5.0 0.00473965 0.04541444 0.0 0.0
351.63 0.00021503 -5.48e-06 73.33 5.0 0.0047398 0.04536584 0.0 0.0
352.40999999999997 0.00021523 -5.3599999999999995e-06 73.33 5.0 0.00473925 0.045415105 0.0 0.0
353.435 0.00021526 -5.32e-06 73.33 5.0 0.0047393999999999995 0.045420015 0.0 0.0
354.46500000000003 0.00021538 -5.465e-06 73.33 5.0 0.0047401000000000006 0.045438295000000004 0.0 0.0
355.49 0.000215605 -5.51e-06 73.33 5.0 0.00474065 0.045480275 0.0 0.0
356.53 0.00021586 -5.7199999999999994e-06 73.33 5.0 0.00474015 0.04553843 0.0 0.0
357.58 0.000215935 -5.51e-06 73.33 5.0 0.0047401000000000006 0.045554739999999996 0.0 0.0
358.625 0.00021620500000000002 -5.5250000000000005e-06 73.33 5.0 0.004739999999999999 0.04561222 0.0 0.0
359.675 0.00021631 -5.465e-06 73.33 5.0 0.00473955 0.045638545 0.0 0.0
360.71500000000003 0.000216325 -5.5250000000000005e-06 73.33 5.0 0.004739149999999999 0.04564563 0.0 0.0
361.75 0.000216325 -5.420000000000001e-06 73.33 5.0 0.0047389500000000005 0.045647565 0.0 0.0
362.78999999999996 0.000216755 -5.405e-06 73.33 5.0 0.0047392 0.04573626 0.0 0.0
363.84000000000003 0.00021675 -5.39e-06 73.33 5.0 0.004739999999999999 0.045728500000000005 0.0 0.0
364.62 0.0002164 -5.22e-06 73.33 5.0 0.0047415 0.04563872 0.0 0.0
365.405 0.00021681 -5.51e-06 73.33 5.0 0.0047385 0.04575562 0.0 0.0
366.45500000000004 0.00021708 -5.54e-06 73.33 5.0 0.0047387 0.04581025 0.0 0.0
367.505 0.000217005 -5.5299999999999996e-06 73.33 5.0 0.00473955 0.04578636 0.0 0.0
368.55 0.00021735 -5.555e-06 73.33 5.0 0.0047396999999999995 0.04585716 0.0 0.0
369.59000000000003 0.00021735 -5.765e-06 73.33 5.0 0.00474 0.045854235 0.0 0.0
370.635 0.00021762000000000002 -5.51e-06 73.33 5.0 0.00474025 0.045908445 0.0 0.0
371.685 0.00021757500000000002 -5.5399999999999995e-06 73.33 5.0 0.004739800000000001 0.045903405 0.0 0.0
372.73 0.00021757500000000002 -5.375e-06 73.33 5.0 0.0047396 0.04590535 0.0 0.0
373.78 0.000217795 -5.3599999999999995e-06 73.33 5.0 0.00473925 0.045955789999999996 0.0 0.0
374.82 0.00021809500000000002 -5.615e-06 73.33 5.0 0.004739149999999999 0.04601975 0.0 0.0
375.6 0.00021801 -5.69e-06 73.33 5.0 0.0047406 0.04598679 0.0 0.0
376.39 0.00021812 -5.185e-06 73.33 5.0 0.00473985 0.046019295 0.0 0.0
377.44 0.00021827 -5.48e-06 73.33 5.0 0.0047396999999999995 0.046052184999999995 0.0 0.0
378.49 0.000218315 -5.585e-06 73.33 5.0 0.004739 0.046068385 0.0 0.0
379.53499999999997 0.000218525 -5.644999999999999e-06 73.33 5.0 0.0047389500000000005 0.046112845 0.0 0.0
380.58500000000004 0.000218735 -5.3599999999999995e-06 73.33 5.0 0.0047385 0.046161335 0.0 0.0
381.63 0.000218525 -5.245e-06 73.33 5.0 0.00473915 0.046110905 0.0 0.0
382.67 0.000218735 -5.32e-06 73.33 5.0 0.0047393999999999995 0.046152475 0.0 0.0
383.72 0.00021925999999999998 -5.495e-06 73.33 5.0 0.00473955 0.046261055 0.0 0.0
384.76 0.000219305 -5.63e-06 73.33 5.0 0.0047403 0.04626321 0.0 0.0
385.8 0.00021941000000000002 -5.57e-06 73.33 5.0 0.0047402 0.046286129999999995 0.0 0.0
386.84000000000003 0.00021939 -5.615e-06 73.33 5.0 0.00473955 0.046289300000000005 0.0 0.0
387.62 0.00021935 -5.63e-06 73.33 5.0 0.0047367 0.04630777 0.0 0.0
388.405 0.00021964 -5.615e-06 73.33 5.0 0.00474 0.046338415 0.0 0.0
389.46000000000004 0.00021967 -5.555e-06 73.33 5.0 0.00474005 0.046344235 0.0 0.0
390.505 0.000219925 -5.63e-06 73.33 5.0 0.00473995 0.0463986 0.0 0.0
391.55 0.000219745 -5.48e-06 73.33 5.0 0.0047393999999999995 0.046366334999999995 0.0 0.0
392.58 0.000219895 -5.66e-06 73.33 5.0 0.00473895 0.04640206 0.0 0.0
393.61 0.00021997 -5.7050000000000004e-06 73.33 5.0 0.0047390999999999996 0.046416410000000005 0.0 0.0
394.64 0.00022021 -5.66e-06 73.33 5.0 0.0047389 0.046468709999999996 0.0 0.0
395.68 0.000220525 -5.7199999999999994e-06 73.33 5.0 0.0047396 0.0465279 0.0 0.0
396.71500000000003 0.00022062999999999998 -5.495e-06 73.33 5.0 0.0047393999999999995 0.046551800000000004 0.0 0.0
397.73 0.00022049500000000002 -5.5250000000000005e-06 73.33 5.0 0.00474015 0.04651616 0.0 0.0
398.745 0.000220585 -5.32e-06 73.33 5.0 0.0047404 0.046532575 0.0 0.0
399.765 0.00022084 -5.66e-06 73.33 5.0 0.00473985 0.046591480000000005 0.0 0.0
400.795 0.00022091500000000002 -5.57e-06 73.33 5.0 0.00473915 0.046613959999999996 0.0 0.0
401.83 0.00022112 -5.5250000000000005e-06 73.33 5.0 0.0047389500000000005 0.04666004 0.0 0.0
402.855 0.00022099 -5.51e-06 73.33 5.0 0.00473875 0.046633709999999995 0.0 0.0
403.62 0.00022119 -5.69e-06 73.33 5.0 0.0047409 0.04665654 0.0 0.0
404.395 0.00022119000000000002 -5.5399999999999995e-06 73.33 5.0 0.00473975 0.04666788 0.0 0.0
405.425 0.00022144500000000002 -5.66e-06 73.33 5.0 0.0047392 0.04672668 0.0 0.0
406.46500000000003 0.00022166999999999998 -5.7050000000000004e-06 73.33 5.0 0.0047388 0.046777769999999996 0.0 0.0
407.5 0.00022166999999999998 -5.375e-06 73.33 5.0 0.004738549999999999 0.046780235 0.0 0.0
408.53499999999997 0.00022173 -5.5399999999999995e-06 73.33 5.0 0.00473925 0.04678589 0.0 0.0
409.565 0.000221655 -5.305e-06 73.33 5.0 0.00473915 0.046771185 0.0 0.0
410.595 0.00022215 -5.7800000000000006e-06 73.33 5.0 0.0047393 0.046873495 0.0 0.0
411.635 0.000222325 -5.675e-06 73.33 5.0 0.004739800000000001 0.046906195 0.0 0.0
412.65999999999997 0.000222165 -5.54e-06 73.33 5.0 0.0047401000000000006 0.04686864 0.0 0.0
413.69 0.00022227 -5.75e-06 73.33 5.0 0.0047396999999999995 0.046894635 0.0 0.0
414.72 0.00022204499999999998 -5.5399999999999995e-06 73.33 5.0 0.0047392 0.04685244 0.0 0.0
415.755 0.00022245 -5.645e-06 73.33 5.0 0.0047389500000000005 0.046939835 0.0 0.0
416.78 0.00022271 -5.615e-06 73.33 5.0 0.004738900000000001 0.046996985000000005 0.0 0.0
417.81 0.00022267 -5.5399999999999995e-06 73.33 5.0 0.00473905 0.046986045000000004 0.0 0.0
418.84000000000003 0.00022295 -5.7800000000000006e-06 73.33 5.0 0.0047393 0.047043285000000004 0.0 0.0
419.61 0.00022283 -5.69e-06 73.33 5.0 0.0047416 0.04699532 0.0 0.0
420.39 0.00022290500000000002 -5.7199999999999994e-06 73.33 5.0 0.00473875 0.04703931 0.0 0.0
421.43 0.00022298 -5.5250000000000005e-06 73.33 5.0 0.00473865 0.047056015 0.0 0.0
422.46000000000004 0.000222965 -5.7050000000000004e-06 73.33 5.0 0.0047383500000000005 0.047055824999999996 0.0 0.0
423.495 0.00022313 -5.615e-06 73.33 5.0 0.0047393999999999995 0.047080029999999995 0.0 0.0
424.52 0.00022328000000000002 -5.5250000000000005e-06 73.33 5.0 0.00473965 0.04710899 0.0 0.0
425.55 0.00022354999999999999 -5.555e-06 73.33 5.0 0.00473995 0.047162635 0.0 0.0
426.585 0.00022370000000000002 -5.63e-06 73.33 5.0 0.0047399 0.047194465 0.0 0.0
427.61 0.00022353500000000002 -5.6e-06 73.33 5.0 0.00473995 0.04715938 0.0 0.0
428.645 0.00022349000000000002 -5.5250000000000005e-06 73.33 5.0 0.0047392 0.04715747 0.0 0.0
429.675 0.000223835 -5.335e-06 73.33 5.0 0.00473925 0.047229335 0.0 0.0
430.7 0.000223775 -5.425e-06 73.33 5.0 0.0047386500000000005 0.047222735 0.0 0.0
431.73 0.00022424499999999998 -5.765e-06 73.33 5.0 0.0047387 0.047322795 0.0 0.0
432.755 0.00022394 -5.615e-06 73.33 5.0 0.00473905 0.047253265 0.0 0.0
433.78499999999997 0.000224115 -5.75e-06 73.33 5.0 0.00473955 0.047286085 0.0 0.0
434.805 0.00022423 -5.615e-06 73.33 5.0 0.00473985 0.04730815 0.0 0.0
435.825 0.0002242 -5.275e-06 73.33 5.0 0.004739749999999999 0.047302815 0.0 0.0
436.855 0.000224455 -5.7050000000000004e-06 73.33 5.0 0.00473975 0.047356300000000004 0.0 0.0
437.63 0.00022426 -5.33e-06 73.33 5.0 0.0047364 0.04734883 0.0 0.0
438.405 0.000224515 -5.585e-06 73.33 5.0 0.0047393999999999995 0.047372355000000005 0.0 0.0
439.425 0.000224485 -5.495000000000001e-06 73.33 5.0 0.0047396999999999995 0.047363145 0.0 0.0
440.445 0.00022474 -5.405e-06 73.33 5.0 0.0047398 0.04741561 0.0 0.0
441.46500000000003 0.00022483 -5.57e-06 73.33 5.0 0.0047399 0.047433495 0.0 0.0
442.475 0.00022486 -5.495000000000001e-06 73.33 5.0 0.00473965 0.047442120000000004 0.0 0.0
443.5 0.000224815 -5.63e-06 73.33 5.0 0.0047390999999999996 0.04743833 0.0 0.0
444.53999999999996 0.00022477 -5.555e-06 73.33 5.0 0.0047392 0.0474278 0.0 0.0
445.565 0.000225085 -5.57e-06 73.33 5.0 0.0047386500000000005 0.047499395 0.0 0.0
446.58 0.00022496499999999998 -5.435e-06 73.33 5.0 0.0047389500000000005 0.04747117 0.0 0.0
447.59 0.00022529 -5.63e-06 73.33 5.0 0.0047393999999999995 0.047535905 0.0 0.0
448.6 0.00022543 -5.600000000000001e-06 73.33 5.0 0.00473975 0.047560655 0.0 0.0
449.595 0.000225505 -5.435e-06 73.33 5.0 0.0047396999999999995 0.04757696 0.0 0.0
450.59 0.000225445 -5.824999999999999e-06 73.33 5.0 0.00473965 0.047564905000000005 0.0 0.0
451.59 0.000225455 -5.63e-06 73.33 5.0 0.0047399 0.047565474999999996 0.0 0.0
452.59 0.000225415 -5.7949999999999996e-06 73.33 5.0 0.00473985 0.04755659 0.0 0.0
453.6 0.00022595999999999998 -5.855e-06 73.33 5.0 0.0047393999999999995 0.04767734 0.0 0.0
454.61 0.00022555999999999997 -5.7949999999999996e-06 73.33 5.0 0.0047393999999999995 0.04759252 0.0 0.0
455.61 0.00022553 -5.5250000000000005e-06 73.33 5.0 0.004738549999999999 0.04759473 0.0 0.0
456.61 0.000225765 -5.555e-06 73.33 5.0 0.004738900000000001 0.047641545 0.0 0.0
457.62 0.00022615500000000002 -5.735e-06 73.33 5.0 0.00473925 0.04771980000000001 0.0 0.0
458.63 0.000226155 -5.425e-06 73.33 5.0 0.00473915 0.047720825 0.0 0.0
459.635 0.00022595999999999998 -5.75e-06 73.33 5.0 0.00473955 0.04767583 0.0 0.0
